Libellé de la branche code de la branche en A17 Région;Agriculture, sylviculture et pêche AZ;Industries manufacturières, industries extractives et autres =DE+C1+C2+C3+C4+C5;Industries extractives, énergie, eau, gestion des déchets et dépollution DE;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac C1;Cokéfaction et raffinage C2;"Fabrication  d'équipements électriques, informatiques ; fabrication de machines C3";Fabrication de matériels de transport C4;Fabrication d'autres produits industriels C5;Construction FZ;Commerce de gros et de détail, transports, hébergement et restauration =GZ+HZ+IZ;"Commerce ; réparation d'automobiles et de motocycles GZ";Transport et entreposage HZ;Hébergement et restauration IZ;Information et communication JZ;Activités financières et d'assurance KZ;Activités immobilières LZ;"Activités scientifiques et techniques ; services administratifs et de soutien MN";Administration publique, enseignement, santé humaine et action sociale OQ;Autres activités de services RU;Total
Bretagne;3054,293673187;13380,799944206;1491,994133160;5195,840032085;0;1342,959336385;674,226248981;4675,780193595;5727,053886337;13822,694214683;8300,565951299;2931,322279017;2590,805984368;4127,791273161;2688,445715905;11803,037590678;9183,136023933;21458,031081737;2542,314128214;87787,597532042
Centre-Val de Loire;2445,399072002;12268,917096128;2163,920458326;1543,931203970;0;1617,175711878;771,477250825;6172,412471129;4032,758328768;10606,446870043;6066,260678683;3084,173042824;1456,013148535;1602,087314876;2242,085737539;8427,670096943;6893,737056730;15852,304794638;1658,113328361;66029,519696026
Corse;102,684499631;561,124701003;273,391066093;154,357425497;0;6,610131854;23,807317544;102,958760015;800,944476032;1928,599209653;943,961838088;282,956782104;701,680589461;170,345471601;196,104098381;986,049341971;674,542854917;2674,877049650;246,551415501;8341,823118340
Grand Est;5375,359533905;27346,702146263;4292,547919052;4814,563306119;3,129559358;3301,165525972;2183,793655003;12751,502180757;8619,341206352;23423,703995706;13998,749739104;5847,773298571;3577,180958031;3139,396397263;4039,340092725;17746,314167227;13333,384822261;36032,917999018;3746,702771720;142803,16313244
Hauts-de-France;3494,964449314;24481,461389838;3681,797601330;4665,139848495;44,899324266;1572,994180447;2144,248288862;12372,382146438;8466,360425748;24630,340466926;14584,805846827;6949,852226579;3095,682393520;3665,146790640;4298,466731252;18196,515848863;16148,351725080;40938,867677583;3442,592082291;147763,067587534
Île-de-France;568,129060427;55250,83763584;14733,230647809;4439,416649807;296,840925350;6763,006515828;8633,242243456;20385,100653589;27554,232578924;123538,375829185;75452,686514444;30581,189960410;17504,499354330;67252,494451491;42729,281010070;80736,142219904;130473,028553347;99327,485271917;20826,622808386;648256,629419491
Normandie;2344,798824146;17191,570852712;2355,314072213;2693,598294044;910,260087883;1313,690324009;1748,879081657;8169,828992907;5324,482699688;13641,012653267;7439,550503040;4056,462621041;2144,999529186;1204,897284377;2196,537029711;10133,917341681;8163,958546773;21778,119638425;2192,716899715;84172,011770496
Nouvelle-Aquitaine;6576,932633332;21788,052020527;3900,546156585;4447,846647835;8,258287608;2118,099428228;2320,084511547;8993,216988726;9782,176238835;27173,579437820;15876,320277066;6579,308335543;4717,950825211;3876,545295382;5518,830185758;21323,464925670;15182,194096916;41113,641885938;4545,173121527;156880,589841705
Occitanie;3336,707527739;21033,157143507;3940,164258261;2926,792409599;43,213256929;1533,208973849;6186,767893686;6403,010351182;9478,706431897;24905,159444879;14694,804100125;5726,158842293;4484,196502462;5848,635525510;3784,185368157;20430,652548971;19483,507750467;40659,761077920;4316,829350658;153277,302169704
Pays de la Loire;2769,005971315;18832,718937833;2419,558623344;4314,072992078;134,076451887;1997,759407524;2683,352722702;7283,898740298;6951,169033585;16960,676065578;10210,222101192;4223,096544915;2527,357419470;3778,458037749;3771,306069597;12985,818024726;12516,031409306;22798,089234097;2995,102756740;104358,375540525
Provence-Alpes-Côte d'Azur;2452,162480031;16437,310874470;3887,389999795;2098,633425186;330,216967472;1352,188677573;1676,255248755;7092,626555690;8836,795269421;27926,331670798;14306,543570311;7389,387457757;6230,400642729;6603,816688567;4015,835833153;20717,238787925;18696,930734084;37271,252442702;4469,848638466;147427,523419619
Dom;37488,117373763;230371,29373022;36888,534947983;39570,662824334;1656,152808103;24079,350524389;23977,398386282;104199,194239129;87824,166867045;238746,777337203;137867,093352832;60848,302551559;40031,381432811;43312,951892638;41138,556632230;183947,87628664;159166,470737724;350517,695984761;38297,585606832;1410811,49244905
Dom;38056,24643419;285622,13136606;51621,765595793;44010,079474141;1952,993733452;30842,357040218;32610,640629738;124584,294892718;115378,399445969;362285,153166387;213319,779867276;91429,492511970;57535,880787141;110565,446344129;83867,8376423;264684,018506543;289639,499291071;449845,181256678;59124,208415217;2059068,12186854
Guadeloupe;136,864;843,888;597,47;;;;;;313,461;1391,85;;;;326,759;416,033;951,66;547,043;3244,54;211,5;8383,598
Martinique;183,109;632,172;304,299;;;;;;312,403;1296,832;;;;353,577;416,914;1029,302;757,554;3188,838;215,887;8386,588
Guyane;168,77;397,689;218,696;;;;;;207,896;603,655;;;;132,375;127,831;468,089;469,135;1477,464;87,257;4140,161
Réunion;340,165543558;1122,768276167;294,363237704;;;;;;1032,418970989;2980,805218432;;;;594,496175484;795,416893470;2634,146074541;1167,131996643;6463,015291765;720,192700895;17850,557141943
